RefSeqRNA Accession,Entrez ID,Gene Name,Gene Summary,NCBI Link
NM_006946,6712,"spectrin beta, non-erythrocytic 2","Spectrins are principle components of a cell's membrane-cytoskeleton and are composed of two alpha and two beta spectrin subunits. The protein encoded by this gene (SPTBN2), is called spectrin beta non-erythrocytic 2 or beta-III spectrin. It is related to, but distinct from, the beta-II spectrin gene which is also known as spectrin beta non-erythrocytic 1 (SPTBN1). SPTBN2 regulates the glutamate signaling pathway by stabilizing the glutamate transporter EAAT4 at the surface of the plasma membrane. Mutations in this gene cause a form of spinocerebellar ataxia, SCA5, that is characterized by neurodegeneration, progressive locomotor incoordination, dysarthria, and uncoordinated eye movements.","<a href=""https://www.ncbi.nlm.nih.gov/gene/6712"">https://www.ncbi.nlm.nih.gov/gene/6712</a>"
NM_001199214,11075,stathmin 2,This gene encodes a member of the stathmin family of phosphoproteins. Stathmin proteins function in microtubule dynamics and signal transduction. The encoded protein plays a regulatory role in neuronal growth and is also thought to be involved in osteogenesis. Reductions in the expression of this gene have been associated with Down's syndrome and Alzheimer's disease. Alternatively spliced transcript variants have been observed for this gene. A pseudogene of this gene is located on the long arm of chromosome 6.,"<a href=""https://www.ncbi.nlm.nih.gov/gene/11075"">https://www.ncbi.nlm.nih.gov/gene/11075</a>"
NM_001165903,6804,syntaxin 1A,"This gene encodes a member of the syntaxin superfamily. Syntaxins are nervous system-specific proteins implicated in the docking of synaptic vesicles with the presynaptic plasma membrane. Syntaxins possess a single C-terminal transmembrane domain, a SNARE [Soluble NSF (N-ethylmaleimide-sensitive fusion protein)-Attachment protein REceptor] domain (known as H3), and an N-terminal regulatory domain (Habc). Syntaxins bind synaptotagmin in a calcium-dependent fashion and interact with voltage dependent calcium and potassium channels via the C-terminal H3 domain. This gene product is a key molecule in ion channel regulation and synaptic exocytosis. Alternatively spliced transcript variants encoding different isoforms have been found for this gene.","<a href=""https://www.ncbi.nlm.nih.gov/gene/6804"">https://www.ncbi.nlm.nih.gov/gene/6804</a>"
NM_001127396,6813,syntaxin binding protein 2,"This gene encodes a member of the STXBP/unc-18/SEC1 family. The encoded protein is involved in intracellular trafficking, control of SNARE (soluble NSF attachment protein receptor) complex assembly, and the release of cytotoxic granules by natural killer cells. Mutations in this gene are associated with familial hemophagocytic lymphohistiocytosis. Alternatively spliced transcript variants encoding different isoforms have been noted for this gene.","<a href=""https://www.ncbi.nlm.nih.gov/gene/6813"">https://www.ncbi.nlm.nih.gov/gene/6813</a>"
NM_006950,6853,synapsin I,"This gene is a member of the synapsin gene family. Synapsins encode neuronal phosphoproteins which associate with the cytoplasmic surface of synaptic vesicles. Family members are characterized by common protein domains, and they are implicated in synaptogenesis and the modulation of neurotransmitter release, suggesting a potential role in several neuropsychiatric diseases. This member of the synapsin family plays a role in regulation of axonogenesis and synaptogenesis. The protein encoded serves as a substrate for several different protein kinases and phosphorylation may function in the regulation of this protein in the nerve terminal. Mutations in this gene may be associated with X-linked disorders with primary neuronal degeneration such as Rett syndrome. Alternatively spliced transcript variants encoding different isoforms have been identified.","<a href=""https://www.ncbi.nlm.nih.gov/gene/6853"">https://www.ncbi.nlm.nih.gov/gene/6853</a>"
NM_003178,6854,synapsin II,"This gene is a member of the synapsin gene family. Synapsins encode neuronal phosphoproteins which associate with the cytoplasmic surface of synaptic vesicles. Family members are characterized by common protein domains, and they are implicated in synaptogenesis and the modulation of neurotransmitter release, suggesting a potential role in several neuropsychiatric diseases. This member of the synapsin family encodes a neuron-specific phosphoprotein that selectively binds to small synaptic vesicles in the presynaptic nerve terminal. Polymorphisms in this gene are associated with abnormal presynaptic function and related neuronal disorders, including autism, epilepsy, bipolar disorder and schizophrenia. Alternative splicing of this gene results in multiple transcript variants. The tissue inhibitor of metalloproteinase 4 gene is located within an intron of this gene and is transcribed in the opposite direction.","<a href=""https://www.ncbi.nlm.nih.gov/gene/6854"">https://www.ncbi.nlm.nih.gov/gene/6854</a>"
NM_152280,23208,synaptotagmin 11,This gene is a member of the synaptotagmin gene family and encodes a protein similar to other family members that are known calcium sensors and mediate calcium-dependent regulation of membrane trafficking in synaptic transmission. The encoded protein is also a substrate for ubiquitin-E3-ligase parkin. The gene has previously been referred to as synaptotagmin XII but has been renamed synaptotagmin XI to be consistent with mouse and rat official nomenclature.,"<a href=""https://www.ncbi.nlm.nih.gov/gene/23208"">https://www.ncbi.nlm.nih.gov/gene/23208</a>"
NM_003182,6863,tachykinin precursor 1,"This gene encodes four products of the tachykinin peptide hormone family, substance P and neurokinin A, as well as the related peptides, neuropeptide K and neuropeptide gamma. These hormones are thought to function as neurotransmitters which interact with nerve receptors and smooth muscle cells. They are known to induce behavioral responses and function as vasodilators and secretagogues. Substance P is an antimicrobial peptide with antibacterial and antifungal properties. Multiple transcript variants encoding different isoforms have been found for this gene.","<a href=""https://www.ncbi.nlm.nih.gov/gene/6863"">https://www.ncbi.nlm.nih.gov/gene/6863</a>"
NM_001058,6869,tachykinin receptor 1,"This gene belongs to a gene family of tachykinin receptors. These tachykinin receptors are characterized by interactions with G proteins and contain seven hydrophobic transmembrane regions. This gene encodes the receptor for the tachykinin substance P, also referred to as neurokinin 1. The encoded protein is also involved in the mediation of phosphatidylinositol metabolism of substance P.","<a href=""https://www.ncbi.nlm.nih.gov/gene/6869"">https://www.ncbi.nlm.nih.gov/gene/6869</a>"
NM_002353,4070,tumor associated calcium signal transducer 2,This intronless gene encodes a carcinoma-associated antigen. This antigen is a cell surface receptor that transduces calcium signals. Mutations of this gene have been associated with gelatinous drop-like corneal dystrophy.,"<a href=""https://www.ncbi.nlm.nih.gov/gene/4070"">https://www.ncbi.nlm.nih.gov/gene/4070</a>"
NM_001008272,29114,transgelin 3,,"<a href=""https://www.ncbi.nlm.nih.gov/gene/29114"">https://www.ncbi.nlm.nih.gov/gene/29114</a>"
NM_001063,7018,transferrin,"This gene encodes a glycoprotein with an approximate molecular weight of 76.5 kDa. It is thought to have been created as a result of an ancient gene duplication event that led to generation of homologous C and N-terminal domains each of which binds one ion of ferric iron. The function of this protein is to transport iron from the intestine, reticuloendothelial system, and liver parenchymal cells to all proliferating cells in the body. This protein may also have a physiologic role as granulocyte/pollen-binding protein (GPBP) involved in the removal of certain organic matter and allergens from serum.","<a href=""https://www.ncbi.nlm.nih.gov/gene/7018"">https://www.ncbi.nlm.nih.gov/gene/7018</a>"
NM_003221,7021,transcription factor AP-2 beta,"This gene encodes a member of the AP-2 family of transcription factors. AP-2 proteins form homo- or hetero-dimers with other AP-2 family members and bind specific DNA sequences. They are thought to stimulate cell proliferation and suppress terminal differentiation of specific cell types during embryonic development. Specific AP-2 family members differ in their expression patterns and binding affinity for different promoters. This protein functions as both a transcriptional activator and repressor. Mutations in this gene result in autosomal dominant Char syndrome, suggesting that this gene functions in the differentiation of neural crest cell derivatives.","<a href=""https://www.ncbi.nlm.nih.gov/gene/7021"">https://www.ncbi.nlm.nih.gov/gene/7021</a>"
NM_001128148,7037,transferrin receptor,This gene encodes a cell surface receptor necessary for cellular iron uptake by the process of receptor-mediated endocytosis. This receptor is required for erythropoiesis and neurologic development. Multiple alternatively spliced variants have been identified.,"<a href=""https://www.ncbi.nlm.nih.gov/gene/7037"">https://www.ncbi.nlm.nih.gov/gene/7037</a>"
NM_000360,7054,tyrosine hydroxylase,"The protein encoded by this gene is involved in the conversion of tyrosine to dopamine. It is the rate-limiting enzyme in the synthesis of catecholamines, hence plays a key role in the physiology of adrenergic neurons. Mutations in this gene have been associated with autosomal recessive Segawa syndrome. Alternatively spliced transcript variants encoding different isoforms have been noted for this gene.","<a href=""https://www.ncbi.nlm.nih.gov/gene/7054"">https://www.ncbi.nlm.nih.gov/gene/7054</a>"
